,CL0106,CL0107,CL0108,CL0109,CL0110,CL0111,CL0114,CL0116,CL0124,CL0125,CL0126,CL0146,CL0147,CL0191,CL0193,CL0196,NCI0422
FAHD2A,0.650869945,0.674611776,0.788499851,4.120596396,3.26341509,0.820418114,0.592560025,0.771843457,0.562163137,0.31774579,0.550885424,0.319296344,0.448782097,0.573840802,0.522472706,1.090952992,0.613237923
FAHD2B,2.243548701,5.242985954,0.689698359,3.701901343,3.906878449,6.142746133,0.281036821,3.738164587,6.643439122,2.354221451,3.00462306,2.7282493,0.115023078,2.143544749,2.271525334,7.996482759,0.909276007
FAHD2CP,1.499502751,2.421687197,0.502451452,1.203218205,2.394219,3.291745213,0,1.550681727,5.781792855,2.195395912,1.533283864,0.982676674,0.810021677,1.183951808,1.066443819,2.89190405,0.511065666
FAIM,6.478722791,3.733882848,5.713681483,8.444436645,5.454004011,11.55184627,19.98901805,8.646720896,10.26551636,6.579351651,6.917725526,6.525603223,8.480333966,5.14752228,16.66990298,6.808797139,3.926247146
FAIM2,2.373759006,0.261866046,0.754073732,0.594108428,0.163723564,0.158409402,0.185159116,1.168067927,2.931015231,1.52715875,0.83916749,1.322556261,1.060949949,0.170598544,1.435296051,0.58415087,0.105470079
FAM101B,5.250785404,3.903877794,0.335060167,0.650284412,0.668560826,0.527921706,0.062107585,0.558184946,1.067414675,1.924286057,0.772266797,0.717771455,0.300797,0.696634628,0.796267215,6.63723208,1.98114763
FAM102A,2.979960731,14.21992342,8.647358911,2.938391734,9.102231523,5.350734525,1.895328479,6.442007792,0.914986511,1.435098683,3.090774796,6.200185744,13.12369449,5.44339211,3.31889245,2.94486198,2.860093172
FAM102B,3.285263001,5.533724841,10.12323628,5.972528816,5.594019058,5.772549993,6.357537079,13.47086338,4.989053686,2.753899188,8.068105236,6.306606442,32.85840292,10.23209288,8.064604342,3.688442934,2.858725011
FAM103A1,1.288438875,6.095115459,3.282981135,3.695380084,4.222796405,2.415606853,2.717404378,2.570775453,3.708623906,1.14884103,3.357306439,2.102834961,3.736542742,4.438312982,9.955487446,6.278970575,4.741413434
FAM104A,2.531349925,10.20414707,7.05471343,3.372454677,4.165020127,4.01405627,3.931603198,4.734322393,2.508889531,2.231930743,2.465738359,5.184805192,2.730130796,5.519892057,5.710846254,9.027621126,3.625880388
FAM104B,0.917087092,1.45106576,1.968028795,1.45819608,2.404721488,1.657450601,4.940491564,2.648331177,2.412664109,1.608862633,1.841349064,1.668895206,3.776922508,1.118926985,3.392820444,2.524592993,2.102618474
FAM105A,3.169078839,19.41200741,7.485647636,1.691066771,15.21752818,9.962875024,6.776774412,22.00314509,0.467960685,6.175457026,3.702273742,11.52971729,2.603926705,11.01730134,10.04604161,10.26016979,3.378790077
FAM106A,0,0.092933172,0.15639655,0,0.560825684,0.337305772,0,0.027256999,0.039626009,4.722213668,0,0.107583553,0.020170641,10.26079209,1.421656394,1.414060516,1.392399243
FAM106B,2.062495079,0.012640463,0.850901683,0.577334277,0.278324964,0.022199621,1.307148006,1.279055419,3.031761857,6.634534928,0.794564704,0.490641231,1.385489671,2.73900428,0.924808291,1.990141678,1.878622101
FAM106CP,12.11694864,0,0.419138012,1.187181375,0.078622275,0,0,2.924862757,1.592947545,5.390213201,0.757524167,0.155922938,6.521679928,0.791929432,3.04585938,0.636700153,0.262104239
FAM107A,0.092864911,0.070832483,0.277067512,0.046290161,0.088987912,2.622454282,0.441618413,0.014738977,0.015305291,0.463080269,0.021235836,0.089951009,0.006232624,0.017894228,0.00848859,0.034388593,0.017348556
FAM107B,4.526124216,6.837052108,6.631198008,8.011380024,10.36963823,3.899621897,5.993475539,5.385104722,2.137068447,3.706153247,6.305367025,3.799161366,13.31967823,4.65821754,5.743300028,2.906089179,5.057055815
FAM109A,0.080569874,2.253330712,0.215228073,0.359965876,0.253290444,0.368998743,0.266443011,0.090426461,0.199626374,0.16677238,0.191407744,0.255049533,0.221404761,0.250988891,0.209280953,0.20270689,0.259390262
FAM109B,0.033730676,3.937634208,0.195657648,0.123300126,0.419171282,0.279410515,0,0.25911115,0.171224423,0.335133412,0.09050325,0.131257333,0.01660144,0.12219241,0.08818099,0.126082896,0.1774473
FAM110A,0.171601132,3.220365578,0.185167259,0.266772522,0.137876388,0.98503757,0.512334501,0.268598681,0.171642474,0.379695357,0.739260615,0.348132937,0.206776517,0.301014496,0.464080506,0.294911708,0.209148608
FAM110B,0.515309989,0.062920915,0.825935334,0.400885659,0.589357016,0.508317947,0.40040865,2.639652805,0.37368975,0.319993575,0.066472859,0.464584775,1.279822572,0.377323184,3.712655402,0.115875486,0.263921397
FAM110C,0.041217459,0.515931532,0.151001283,0.205912298,0.077746095,0.088639915,0.014869673,0,0.0209229,0.102379711,0.017279866,0.007637662,0.002028626,0.015884463,0.029010541,0,0.023716119
FAM111A,11.55243752,14.51926285,32.11826428,12.44800315,11.75537425,11.56690704,27.37380331,19.42450058,14.31610903,7.745438595,12.67450363,14.46957553,12.37655994,18.35490011,36.06431158,15.38104336,17.42956757
FAM111B,11.23559445,33.13349678,40.39920378,16.63308663,19.21433139,9.63215435,29.70577352,19.97364746,16.68261939,6.556786535,20.60237489,25.04773557,12.82125634,19.35008621,62.170053,13.75019867,7.437311021
